im,L,k,qs,MSE,SNR,PSNR
airplane_256,0,0,0.3,0.0,inf,inf
airplane_256,0,1,0.3,0.0,inf,inf
airplane_256,0,2,0.3,0.0,inf,inf
airplane_256,0,3,0.3,0.0,inf,inf
airplane_256,0,4,0.3,0.0,inf,inf
airplane_256,8,0,0.3,0.9359283447265624,124.15341474151002,48.41837760720709
airplane_256,8,1,0.3,1.082244873046875,107.36821475904463,47.78754823774932
airplane_256,8,2,0.3,1.006500244140625,115.44825808799006,48.10266476299061
airplane_256,8,3,0.3,0.6087493896484375,190.88101265822783,50.28641822082506
airplane_256,8,4,0.3,0.5857696533203125,198.3692724478366,50.45353492219694
airplane_256,16,0,0.3,1.9057464599609373,60.97280115296849,45.33015239153301
airplane_256,16,1,0.3,1.509002685546875,77.00364026128986,46.34390348184997
airplane_256,16,2,0.3,1.960357666015625,59.27423447545807,45.20745045528811
airplane_256,16,3,0.3,2.0100250244140625,57.809578756386216,45.09878896533348
airplane_256,16,4,0.3,1.745269775390625,66.57921978002763,45.71217793235824
airplane_256,24,0,0.3,2.330963134765625,49.85008051740616,44.45544955856329
airplane_256,24,1,0.3,2.652938842773437,43.79999194768295,43.89353122401663
airplane_256,24,2,0.3,2.46624755859375,47.11558640829559,44.21043692527495
airplane_256,24,3,0.3,2.4987945556640625,46.5019021622975,44.1534980982717
airplane_256,24,4,0.3,2.3022003173828125,50.47288851183414,44.50937251413831
airplane_256,32,0,0.3,3.55706787109375,32.66698982480825,42.61988208991019
airplane_256,32,1,0.3,3.0361785888671875,38.27136531995839,43.30753047571197
airplane_256,32,2,0.3,3.4004058837890625,34.17200884904128,42.81549601893539
airplane_256,32,3,0.3,3.2060089111328125,36.24403523885221,43.07115635722389
airplane_256,32,4,0.3,2.782470703125,41.76097876634202,43.68649760561301
airplane_256,40,0,0.3,5.092941284179688,22.81563706852902,41.06111691584282
airplane_256,40,1,0.3,4.1613616943359375,27.923239671603373,41.9384489572926
airplane_256,40,2,0.3,5.2592315673828125,22.09423533883233,40.921580673652606
airplane_256,40,3,0.3,4.270034790039063,27.212588577084844,41.82648947421238
airplane_256,40,4,0.3,3.888717651367188,29.880981436211748,42.23273949452189
airplane_256,48,0,0.3,4.503509521484375,25.801810653854755,41.59529275585902
airplane_256,48,1,0.3,3.4029083251953125,34.146879329904536,42.81230111565841
airplane_256,48,2,0.3,4.777618408203125,24.321469406526862,41.33868901479535
airplane_256,48,3,0.3,5.2154541015625,22.27968987712112,40.95788233106892
airplane_256,48,4,0.3,4.876068115234375,23.830409503126194,41.25010597091418
airplane_256,56,0,0.3,5.4534759521484375,21.30727282393068,40.764069584733264
airplane_256,56,1,0.3,5.484176635742188,21.187993689675608,40.73968926659124
airplane_256,56,2,0.3,5.7516632080078125,20.20262587513696,40.532869131151365
airplane_256,56,3,0.3,3.9842376708984375,29.16460049557468,42.127351234654
airplane_256,56,4,0.3,5.032150268554688,23.09126193573428,41.11326759466132
airplane_256,64,0,0.3,6.011749267578125,19.328600508647515,40.34079501723832
airplane_256,64,1,0.3,6.1484222412109375,18.898946004769904,40.24316675961622
airplane_256,64,2,0.3,6.135894775390625,18.937531395944514,40.252024575898034
airplane_256,64,3,0.3,4.9899444580078125,23.286571810373037,41.14984649255536
airplane_256,64,4,0.3,5.9744720458984375,19.44919970475784,40.36780827429088
airplane_256,72,0,0.3,6.86395263671875,16.928831840937587,39.765060827759
airplane_256,72,1,0.3,6.683029174804688,17.387130433194287,39.88107003824864
airplane_256,72,2,0.3,8.789108276367188,13.220761002980888,38.691355461238615
airplane_256,72,3,0.3,7.054855346679688,16.470741672380267,39.645922474951696
airplane_256,72,4,0.3,6.393707275390625,18.173916156346504,40.07327611883869
airplane_256,80,0,0.3,6.628692626953125,17.52965576932816,39.91652479655943
airplane_256,80,1,0.3,7.9060516357421875,14.697437520627023,39.15120714401982
airplane_256,80,2,0.3,7.840789794921875,14.819769817886014,39.18720549930842
airplane_256,80,3,0.3,7.57666015625,15.336401205129858,39.33602553039802
